1 apple 사과
2 affiliation 제휴
자회사
1 standard 표준
1 adversity 역경
1 ambiguity 애매모호함
2 recall 복귀
생각나게 하다
2 watch 시계
시간과 관심을 기울이며 보다
1 amenity 편의시설
2 contact 접촉
전화 등으로 연락하다
2 service 근무
수리하다
2 wait 기다림
기다리다
1 banana 바나나
2 plant 식물
나무씨앗 등을 심다
1 sequence 순서
1 sky 하늘
2 author 작가
저술하다
1 budget 예산
1 mango 망고
2 play 놀이
게임놀이 등을 하다
1 result 결과
2 approach 방식
접근하다
1 black 검정
1 candidate 후보자
1 kiwi 키위
2 paint 그림
그리다
1 priority 우선순위
1 application 신청
2 audit 회계감사
회계를 감사하다
1 consolidation 합병
1 dictionary 사전
1 leader 지도자
2 appointment 임명
지명
1 attendee 참석
2 change 잔돈
변화하다
1 deadline 마감기한
2 field 분야
잘 처리하다
2 decline 감소
거절하다
2 document 문서
문서화하다
2 finance 자금
자금을 조달하다
1 debris 잔해
1 error 오류
2 increase 증가
증가시키다
1 equipment 장비
1 excavation 굴착
1 flair 재능
1 jeopardy 위험
1 ease 쉬움
1 glitch 결함
1 household 가정
1 inception 발단
